===== g-values =====
  99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99, 

  99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99, 

  99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99, 

  99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99, 

  99,   99,   99,   99,    1,   16,   99,    2,   12,   14,   15,   14,   99,   99,   99,   10,   19,   99,    6,   99,   99,   99,   99,   99,   99,   99,   99,   99,   99, 

  99,   99,   10,    7,   99,   11,   99,   99,   99,   19,   16,   99,   17,    6,   99,   99,    1,   99,   14,    8,   18,   15,   99,   99,   99,   99,   99,   99,   99, 

  99,   99,   99,   17,   10,   13,   99,    6,   99,   99,   10,   17,   13,    9,   18,   99,   19,    9,   99,   99,   99,    4,   99,   99,   99,   99,   99,   99,   99, 

  99,   99,   15,   12,    9,   16,   99,   13,   99,   99,    2,    7,    7,    4,   99,   99,    9,   99,   99,    6,   14,   99,   99,   99,   99,   99,   99,   99,   99, 

  99,   99,   20,   12,    7,   99,    3,   14,   16,   99,   99,    6,   99,    8,   99,   99,    5,   99,    3,   99,   15,    1,   99,   99,   99,   99,   99,   99,   99, 

  99,   99,    5,   99,   99,   99,   99,   99,   12,   99,   99,   99,   99,    2,   99,   17,   11,   99,    1,   99,   16,   99,   99,   99,   99,   99,   99,   99,   99, 

  99,   99,   14,   99,   99,   99,   99,   99,   17,    5,   12,   15,   15,   15,   99,   99,   99,   13,    9,   99,    2,   11,   99,   99,   99,   99,   99,   99,   99, 

  99,   99,   16,   10,   16,    0,   15,    7,    6,   99,   99,   99,   99,    1,   20,   15,   10,   12,   99,    7,   19,   99,   99,   99,   99,   99,   99,   99,   99, 

